COLLEGE,BRANCH,CATEGORIES,Cutoff_2019,Cutoff_2020,Cutoff_2021,Cutoff_2022,Cutoff_2023,Cutoff_2024
University of Visvesvaraya College of Engineering,AI Artificial Intelligence,2AG,0,0,0,371,432,475
University of Visvesvaraya College of Engineering,AI Artificial Intelligence,GM,0,0,0,298,249,355
University of Visvesvaraya College of Engineering,AI Artificial Intelligence,SCG,0,0,0,815,1733,670
University of Visvesvaraya College of Engineering,AI Artificial Intelligence,GMR,0,0,0,1201,0,0
University of Visvesvaraya College of Engineering,AI Artificial Intelligence,SCR,0,0,0,0,0,0
University of Visvesvaraya College of Engineering,AI Artificial Intelligence,STG,0,0,0,0,0,0
University of Visvesvaraya College of Engineering,CE Civil,2AG,343,133,216,811,1397,487
University of Visvesvaraya College of Engineering,CE Civil,GM,211,90,201,356,924,370
University of Visvesvaraya College of Engineering,CE Civil,SCG,391,511,492,613,1661,1617
University of Visvesvaraya College of Engineering,CE Civil,GMR,0,316,271,0,1048,529
University of Visvesvaraya College of Engineering,CE Civil,SCR,1433,0,0,0,2624,1708
University of Visvesvaraya College of Engineering,CE Civil,STG,0,0,0,0,1794,3236
University of Visvesvaraya College of Engineering,CS Computers,2AG,128,291,0,188,59,95
University of Visvesvaraya College of Engineering,CS Computers,GM,69,154,59,61,49,71
University of Visvesvaraya College of Engineering,CS Computers,SCG,663,175,0,526,433,369
University of Visvesvaraya College of Engineering,CS Computers,GMR,261,0,0,133,0,0
University of Visvesvaraya College of Engineering,CS Computers,SCR,0,0,0,0,0,0
University of Visvesvaraya College of Engineering,CS Computers,STG,0,0,559,0,0,568
University of Visvesvaraya College of Engineering,EC Electronics,2AG,0,0,0,245,190,358
University of Visvesvaraya College of Engineering,EC Electronics,GM,94,0,218,244,186,261
University of Visvesvaraya College of Engineering,EC Electronics,SCG,0,0,432,515,383,822
University of Visvesvaraya College of Engineering,EC Electronics,GMR,0,0,0,0,0,464
University of Visvesvaraya College of Engineering,EC Electronics,SCR,0,0,0,2602,0,1758
University of Visvesvaraya College of Engineering,EC Electronics,STG,239,1879,0,0,1857,0
University of Visvesvaraya College of Engineering,EE Electrical,2AG,511,377,705,117,176,338
University of Visvesvaraya College of Engineering,EE Electrical,GM,220,280,311,91,143,321
University of Visvesvaraya College of Engineering,EE Electrical,SCG,303,345,853,912,337,517
University of Visvesvaraya College of Engineering,EE Electrical,GMR,0,325,441,333,270,0
University of Visvesvaraya College of Engineering,EE Electrical,SCR,0,0,0,0,0,0
University of Visvesvaraya College of Engineering,EE Electrical,STG,0,0,0,0,0,691
University of Visvesvaraya College of Engineering,ME Mechanical,2AG,114,114,171,510,1882,1078
University of Visvesvaraya College of Engineering,ME Mechanical,GM,113,88,117,389,876,685
University of Visvesvaraya College of Engineering,ME Mechanical,SCG,398,254,233,579,2521,1699
University of Visvesvaraya College of Engineering,ME Mechanical,GMR,263,0,202,392,1735,773
University of Visvesvaraya College of Engineering,ME Mechanical,SCR,0,495,0,0,3086,0
University of Visvesvaraya College of Engineering,ME Mechanical,STG,0,0,0,0,4999,2696
R. V. College of Engineering,AI Artificial Intelligence,2AG,0,0,,,,147
R. V. College of Engineering,AI Artificial Intelligence,GM,0,0,,,,110
